id,carat,cut,color,clarity,depth,table,x,y,z,price
129990,1.01,Good,F,SI2,63.7,59.0,6.37,6.29,4.02,4495
183106,0.3,Good,D,SI1,63.4,61.0,4.2,4.22,2.67,708
108855,1.04,Ideal,F,SI2,62.0,55.0,6.49,6.52,4.03,4363
107910,1.01,Premium,G,VS1,62.2,60.0,6.38,6.36,3.96,6499
25619,0.9,Very Good,F,SI2,62.3,59.0,6.14,6.18,3.84,3496
121905,0.42,Ideal,D,VS2,61.6,57.0,4.82,4.84,2.96,980
102598,1.13,Ideal,G,VS2,61.5,55.0,6.77,6.81,4.18,6781
120031,0.7,Good,G,VVS2,58.5,61.0,5.76,5.84,3.39,3257
112213,0.4,Premium,G,VS2,62.0,58.0,4.74,4.72,2.94,1035
160189,0.4,Ideal,D,VVS1,61.1,56.0,4.77,4.79,2.92,1264
22660,0.57,Very Good,H,VVS1,62.9,60.0,5.29,5.23,3.31,1875
10245,1.01,Ideal,G,VS1,61.5,57.0,6.46,6.49,3.98,6630
89942,0.41,Ideal,G,VS2,62.6,57.0,4.76,4.73,2.97,1061
25677,0.53,Ideal,D,VS2,62.8,57.0,5.13,5.17,3.24,1857
21815,1.56,Ideal,E,VS2,62.7,55.0,7.38,7.42,4.64,14482
157812,2.01,Premium,I,SI1,61.1,58.0,8.09,8.06,4.96,15575
174723,1.08,Premium,G,SI1,62.3,59.0,6.56,6.51,4.07,4879
69742,0.52,Ideal,I,SI2,61.3,56.0,5.19,5.23,3.19,978
88409,0.3,Premium,E,SI1,61.3,56.0,4.28,4.31,2.63,673
80298,0.73,Ideal,E,SI1,62.7,55.0,5.7,5.73,3.58,2524
184211,1.0,Very Good,D,SI1,62.2,60.0,6.29,6.39,3.93,5226
159775,0.71,Ideal,H,SI2,62.1,55.0,5.73,5.75,3.57,2161
6712,0.5,Fair,G,SI1,67.1,59.0,4.96,4.84,2.62,1110
16383,0.32,Ideal,D,VS2,62.1,56.0,4.39,4.36,2.72,972
57785,0.31,Ideal,G,SI1,62.2,56.0,4.35,4.36,2.71,507
90268,0.34,Ideal,H,VS1,62.4,55.0,4.46,4.49,2.79,587
127234,1.22,Ideal,H,SI2,61.6,56.0,6.89,6.84,4.22,5063
146877,0.54,Ideal,I,VS2,61.4,56.0,5.25,5.29,3.23,1207
87221,1.2,Good,I,VS1,64.0,57.0,6.74,6.67,4.27,5330
93419,0.3,Very Good,I,VS1,61.3,59.0,4.33,4.36,2.66,608
21797,0.34,Ideal,F,VVS2,61.4,56.0,4.51,4.53,2.78,913
41512,1.07,Good,G,VVS2,63.6,59.0,6.51,6.45,4.12,8726
1358,0.74,Very Good,G,SI1,62.0,56.0,5.81,5.84,3.61,2749
7856,1.08,Ideal,G,VS1,61.4,57.0,6.61,6.56,4.05,6741
69765,0.72,Good,I,VS1,63.9,58.0,5.69,5.73,3.64,2149
182258,0.91,Very Good,F,SI2,63.0,59.0,6.11,6.15,3.86,3885
35911,0.5,Very Good,D,VVS2,63.2,57.0,5.1,5.06,3.21,2203
163122,1.01,Premium,I,SI1,60.5,59.0,6.46,6.54,3.93,3898
4862,0.41,Ideal,D,VS2,61.2,57.0,4.82,4.79,2.94,983
68021,1.0,Ideal,E,SI1,61.1,55.0,6.41,6.48,3.94,5329
165321,0.91,Premium,G,SI1,62.7,58.0,6.15,6.12,3.85,3751
24670,0.51,Very Good,G,VS1,63.3,58.0,5.12,5.06,3.22,1662
152670,0.33,Ideal,E,VVS1,62.2,54.0,4.45,4.49,2.78,849
85858,0.7,Ideal,F,VS2,62.2,57.0,5.68,5.66,3.53,2616
17375,1.24,Very Good,G,VS2,60.1,59.0,6.99,7.04,4.17,7903
11000,1.93,Very Good,H,VS1,63.3,60.0,7.86,7.94,4.98,14787
4347,1.5,Ideal,G,VVS2,62.4,57.0,7.31,7.36,4.58,15826
72687,0.5,Premium,F,VS2,60.7,60.0,5.15,5.12,3.11,1605
175518,2.03,Ideal,J,SI2,59.8,55.0,8.17,8.27,4.93,10412
64256,1.22,Ideal,F,VVS1,61.5,56.0,6.9,6.88,4.23,13229
69124,0.32,Premium,I,SI1,62.3,59.0,4.35,4.38,2.72,421
106297,0.3,Ideal,D,VVS2,61.1,54.0,4.36,4.33,2.65,841
148924,1.06,Ideal,I,VS2,62.1,56.0,6.53,6.57,4.08,5359
176195,0.31,Very Good,G,SI2,62.6,60.0,4.29,4.31,2.7,408
125922,0.43,Fair,G,SI1,60.8,66.0,4.8,4.76,2.91,923
182975,0.7,Premium,D,VS1,63.0,59.0,5.63,5.59,3.54,2950
110939,1.6,Ideal,J,VS1,61.8,56.0,7.51,7.48,4.64,8533
15066,1.51,Premium,H,VS1,61.5,60.0,7.29,7.36,4.5,10852
86840,2.01,Very Good,I,VS2,61.6,60.0,8.07,8.09,4.99,15934
127353,0.81,Ideal,H,VS1,62.6,57.0,6.0,5.95,3.74,3107
167930,0.5,Ideal,F,SI1,60.6,56.0,5.16,5.21,3.13,1219
159588,0.53,Ideal,E,VS2,60.9,57.0,5.2,5.26,3.19,1656
112737,1.59,Premium,H,SI1,62.0,61.0,7.47,7.43,4.62,10494
58661,1.54,Premium,I,SI1,62.6,58.0,7.33,7.35,4.6,10327
137225,0.52,Ideal,E,SI2,61.4,57.0,5.16,5.18,3.17,1276
126992,1.16,Premium,F,SI1,62.7,58.0,6.73,6.69,4.21,5583
10820,0.43,Premium,H,VS1,61.6,58.0,4.85,4.83,2.99,1113
16738,0.31,Ideal,G,VVS1,61.5,55.0,4.38,4.4,2.7,789
76338,1.01,Very Good,G,SI2,63.0,59.0,6.36,6.41,4.02,4170
148452,1.01,Premium,G,SI2,61.9,59.0,6.46,6.44,4.0,4438
11899,1.03,Good,F,SI1,64.1,58.0,6.37,6.3,4.07,4381
160889,0.7,Very Good,F,SI1,63.1,56.0,5.64,5.67,3.56,2168
60550,0.7,Ideal,F,SI1,61.2,59.0,5.71,5.75,3.51,2452
45260,0.33,Premium,G,VS2,62.0,58.0,4.41,4.43,2.74,579
172150,1.2,Premium,I,SI1,62.2,59.0,6.72,6.76,4.2,5487
75008,1.08,Ideal,H,SI1,61.8,56.0,6.57,6.58,4.06,5260
47483,1.55,Ideal,H,SI1,61.6,55.0,7.43,7.49,4.59,10996
51578,1.51,Very Good,I,SI1,62.9,56.0,7.26,7.22,4.56,8254
154149,1.01,Premium,G,SI2,60.8,60.0,6.41,6.39,3.9,4588
108247,0.71,Premium,I,VVS2,61.9,59.0,5.72,5.69,3.53,2352
131418,1.0,Premium,E,SI2,61.4,58.0,6.3,6.34,3.89,4623
77710,1.01,Very Good,H,VS2,62.0,60.0,6.4,6.45,3.98,5415
130913,0.72,Ideal,F,VS2,61.4,56.0,5.76,5.8,3.55,2929
169896,1.01,Ideal,E,VS2,61.4,57.0,6.47,6.45,3.97,7528
48910,0.32,Ideal,E,VS2,61.5,57.0,4.38,4.42,2.71,677
38098,0.71,Premium,F,VS2,61.3,60.0,5.75,5.71,3.51,2613
95313,0.51,Ideal,E,VS2,62.2,55.0,5.12,5.08,3.17,1637
124701,0.3,Ideal,I,VVS1,62.8,57.0,4.31,4.34,2.71,775
138281,0.41,Very Good,E,SI1,63.0,59.0,4.72,4.7,2.97,923
51958,1.71,Very Good,J,VS2,62.9,57.0,7.64,7.56,4.79,9792
116064,0.39,Premium,G,SI1,61.2,60.0,4.71,4.68,2.88,855
20237,1.36,Premium,I,VS1,62.1,58.0,7.09,7.01,4.4,7257
110416,0.54,Very Good,H,VS2,62.0,58.0,5.17,5.21,3.23,1415
171560,0.42,Ideal,H,VS2,62.5,56.0,4.8,4.74,2.98,1087
173464,0.36,Ideal,E,VS1,62.2,53.0,4.61,4.63,2.87,752
22075,0.7,Ideal,D,SI1,61.4,56.0,5.73,5.7,3.5,2400
118654,1.21,Very Good,F,VS2,62.2,57.0,6.81,6.85,4.24,8637
1153,1.18,Ideal,E,SI2,61.7,55.0,6.84,6.8,4.21,4969
10522,0.3,Very Good,G,VS1,62.4,59.0,4.27,4.28,2.67,605
3691,1.52,Ideal,G,VVS1,62.3,56.0,7.29,7.35,4.56,14503
35348,1.06,Very Good,G,VS2,59.9,56.0,6.58,6.62,3.95,6279
26214,0.56,Ideal,E,VS2,61.6,56.0,5.26,5.28,3.25,1741
8220,1.21,Ideal,G,VS1,61.3,56.0,6.88,6.81,4.19,8974
54383,0.6,Ideal,E,VS2,62.2,56.0,5.37,5.4,3.34,1983
98609,0.9,Premium,I,VS2,62.7,58.0,6.19,6.14,3.86,3539
96789,0.38,Ideal,F,VVS1,61.7,55.0,4.69,4.72,2.9,1186
78060,0.23,Very Good,E,VVS1,60.9,59.0,3.96,4.01,2.43,530
113436,1.23,Ideal,G,VVS2,61.7,55.0,6.92,6.86,4.26,10063
149030,0.77,Good,E,SI1,63.7,57.0,5.74,5.78,3.68,3084
182974,0.71,Premium,F,SI1,60.7,58.0,5.74,5.67,3.47,2516
123726,1.22,Ideal,D,SI2,62.0,57.0,6.88,6.83,4.24,5898
126848,0.71,Fair,D,VS1,58.0,64.0,5.97,5.8,3.44,3470
21091,0.7,Fair,H,I1,66.3,56.0,5.47,5.4,3.62,1105
163603,0.31,Premium,D,SI1,62.4,56.0,4.32,4.34,2.7,732
165731,0.65,Premium,D,SI1,60.3,61.0,5.65,5.6,3.4,2063
24484,1.21,Very Good,G,SI2,62.4,56.0,6.78,6.84,4.24,5938
187860,0.71,Ideal,E,SI1,61.2,56.0,5.73,5.77,3.52,2756
117201,0.58,Premium,E,SI1,62.2,55.0,5.36,5.32,3.32,1736
64285,1.11,Premium,H,VVS2,62.3,56.0,6.63,6.55,4.1,5438
190766,1.02,Premium,G,SI2,59.8,59.0,6.54,6.5,3.9,3394
182880,0.41,Ideal,E,VVS2,62.4,55.0,4.76,4.74,2.96,1073
179210,1.09,Good,F,SI1,59.2,64.0,6.72,6.68,3.96,6108
153446,1.22,Premium,E,VS2,58.5,60.0,7.02,6.98,4.11,7234
32154,1.51,Premium,F,SI1,62.2,60.0,7.34,7.29,4.54,11637
23270,0.7,Very Good,F,SI1,63.2,59.0,5.59,5.62,3.55,2345
190865,0.41,Very Good,F,VVS1,62.7,59.0,4.72,4.74,2.96,1052
64127,0.9,Very Good,H,SI2,62.7,58.0,6.1,6.12,3.84,3253
2603,0.42,Ideal,F,SI1,61.9,55.0,4.83,4.82,2.98,693
29478,0.7,Very Good,E,SI2,59.1,63.0,5.78,5.71,3.41,2344
95874,1.24,Ideal,J,SI1,62.4,55.0,6.89,6.84,4.28,4871
172314,1.01,Premium,I,SI2,61.8,59.0,6.44,6.38,3.96,4149
185617,0.72,Premium,D,VS1,62.9,58.0,5.71,5.62,3.56,3333
97919,0.9,Very Good,F,VS2,62.3,58.0,6.13,6.16,3.83,5160
112696,1.58,Very Good,E,VS2,62.7,56.0,7.42,7.45,4.66,15579
72698,0.51,Ideal,G,VS1,61.6,56.0,5.14,5.17,3.18,1656
104562,0.32,Good,G,VS2,63.2,56.0,4.42,4.45,2.8,561
50356,0.76,Ideal,I,VS1,61.6,55.0,5.87,5.91,3.62,2777
3843,1.7,Ideal,F,SI1,62.0,56.0,7.59,7.67,4.73,14652
105582,0.32,Ideal,D,VVS2,62.0,53.0,4.38,4.42,2.72,956
138248,0.34,Premium,G,VS2,60.0,58.0,4.55,4.5,2.72,765
93236,1.7,Premium,G,VS2,61.0,59.0,7.67,7.6,4.68,15941
63095,0.4,Ideal,H,VVS1,62.7,57.0,4.73,4.7,2.96,1096
86134,0.42,Very Good,H,VS1,63.1,57.0,4.76,4.81,3.01,1087
14076,0.51,Ideal,H,VVS1,62.1,55.0,5.12,5.14,3.19,1776
138686,1.03,Ideal,F,VS1,61.3,55.0,6.54,6.5,4.0,7633
102022,0.51,Very Good,E,VS1,63.5,58.0,5.07,5.09,3.23,1682
79811,0.71,Premium,H,VS1,62.0,60.0,5.69,5.63,3.51,2698
90312,0.42,Ideal,G,VVS1,61.8,56.0,4.82,4.8,2.97,957
106397,0.31,Very Good,H,VS1,61.9,57.0,4.34,4.38,2.7,544
177406,0.51,Ideal,D,VS2,61.9,55.0,5.09,5.12,3.16,1787
22401,0.59,Very Good,G,VS2,63.2,58.0,5.26,5.28,3.33,1601
145454,0.9,Premium,H,VS1,62.3,60.0,6.15,6.17,3.84,4200
14220,0.41,Ideal,F,VVS1,61.7,55.0,4.77,4.81,2.96,1295
190758,1.07,Premium,G,VS2,61.2,56.0,6.62,6.54,4.03,6333
25974,0.51,Premium,D,VS2,60.0,57.0,5.24,5.21,3.14,1806
71199,0.71,Ideal,F,SI1,62.7,56.0,5.71,5.74,3.59,2631
40308,1.11,Premium,D,SI1,59.8,60.0,6.71,6.75,4.03,5775
11447,1.1,Ideal,I,SI2,62.5,53.0,6.57,6.63,4.12,3739
153333,1.54,Very Good,F,VS2,62.5,58.0,7.36,7.39,4.62,13833
145729,1.62,Ideal,G,VS2,62.3,54.0,7.47,7.51,4.67,13746
19742,1.51,Very Good,D,VS2,63.3,58.0,7.18,7.25,4.57,12697
36102,0.72,Good,E,VS1,59.9,61.0,5.79,5.84,3.48,3703
86807,0.54,Ideal,E,VS2,62.7,56.0,5.25,5.22,3.29,1624
90112,0.23,Ideal,G,IF,61.4,57.0,3.94,3.97,2.43,536
12678,0.4,Premium,D,VS1,60.2,60.0,4.75,4.72,2.85,1030
100194,1.0,Premium,D,VS2,62.8,61.0,6.36,6.32,3.98,6256
152840,2.03,Very Good,F,SI2,61.4,58.0,8.11,8.16,5.01,17050
188927,1.0,Very Good,G,VS1,63.1,56.0,6.4,6.35,4.02,6828
67700,0.3,Ideal,H,VVS2,62.0,56.0,4.32,4.29,2.67,776
98562,0.75,Very Good,E,VS2,59.8,61.0,5.85,5.95,3.52,3211
105261,0.23,Very Good,F,VVS2,62.3,54.0,3.95,3.98,2.47,472
99750,0.77,Premium,D,SI2,60.6,58.0,5.95,5.89,3.58,2498
173909,2.01,Very Good,G,SI2,62.3,60.0,8.06,7.99,4.97,13691
25927,1.22,Ideal,I,VS2,62.6,57.0,6.84,6.79,4.27,6828
33396,0.37,Premium,I,VS1,61.2,59.0,4.59,4.61,2.82,705
130373,1.62,Very Good,H,VS2,60.6,57.0,7.61,7.65,4.62,12265
77767,0.41,Very Good,E,VS1,62.9,56.0,4.7,4.76,2.98,1079
67464,0.92,Premium,E,SI2,61.4,58.0,6.21,6.26,3.84,3931
90012,1.03,Premium,F,SI1,61.4,60.0,6.49,6.57,4.01,6471
187496,0.81,Very Good,E,SI1,62.9,55.0,5.93,5.98,3.74,3396
167458,0.38,Very Good,D,VS2,60.7,55.0,4.69,4.71,2.86,871
81867,0.9,Very Good,E,SI2,62.4,58.0,6.1,6.14,3.82,3505
20687,0.32,Ideal,D,VS2,62.3,54.0,4.4,4.42,2.75,736
164001,0.73,Ideal,G,VS2,62.0,56.0,5.76,5.8,3.59,2731
38669,1.02,Very Good,G,VS2,62.4,56.0,6.39,6.43,4.01,6486
182414,1.54,Premium,F,VS2,61.1,58.0,7.51,7.44,4.57,14165
14312,0.9,Ideal,F,I1,61.9,54.0,6.18,6.22,3.84,3377
50928,1.52,Premium,H,SI1,62.3,59.0,7.34,7.37,4.58,9727
121381,0.33,Ideal,F,VS2,61.4,56.0,4.48,4.45,2.74,854
141966,0.33,Ideal,I,VVS2,62.2,55.0,4.44,4.42,2.76,743
106569,1.04,Very Good,H,VS2,63.4,55.0,6.47,6.45,4.1,5491
172588,1.59,Premium,F,SI1,62.3,59.0,7.48,7.45,4.65,12304
60073,0.33,Ideal,I,VVS1,62.2,56.0,4.41,4.43,2.75,733
122005,0.39,Ideal,F,VS1,61.9,55.0,4.67,4.71,2.89,1071
113875,0.9,Very Good,G,SI2,62.1,59.0,6.17,6.2,3.84,3597
33541,2.06,Ideal,I,SI2,62.1,57.0,8.18,8.11,5.04,13047
116595,0.95,Fair,D,SI2,64.7,57.0,6.09,6.06,3.93,3384
89484,1.12,Ideal,H,SI2,62.3,57.0,6.65,6.67,4.15,4916
60382,0.33,Ideal,F,VVS2,61.7,57.0,4.4,4.39,2.71,1050
127713,1.21,Premium,J,VS2,60.0,58.0,6.99,6.95,4.16,5076
180708,0.32,Ideal,E,VVS1,61.3,55.0,4.46,4.42,2.72,1020
12258,0.31,Premium,H,VS2,61.9,60.0,4.27,4.31,2.65,462
28801,1.01,Ideal,G,VS2,61.6,56.0,6.47,6.44,3.98,7548
115664,0.32,Ideal,G,VVS2,61.8,55.0,4.39,4.42,2.72,773
150254,0.58,Ideal,G,VVS2,61.1,56.0,5.41,5.43,3.31,2138
108417,0.3,Premium,F,VS2,62.0,58.0,4.3,4.34,2.68,605
153476,1.19,Ideal,I,SI1,61.9,57.0,6.84,6.8,4.22,6097
140360,0.32,Premium,H,SI1,62.6,58.0,4.33,4.35,2.72,421
142352,0.42,Ideal,H,VVS2,62.4,57.0,4.74,4.76,2.97,1145
100813,0.31,Ideal,G,VVS2,63.0,56.0,4.34,4.31,2.73,907
121756,0.72,Very Good,I,VS1,62.8,59.0,5.64,5.74,3.57,2441
175533,0.3,Ideal,D,SI1,61.7,57.0,4.31,4.3,2.66,548
31299,0.71,Premium,H,VS1,61.9,61.0,5.71,5.67,3.52,2042
38142,0.54,Premium,G,SI2,58.3,60.0,5.38,5.32,3.11,1064
160207,0.37,Ideal,D,VS1,61.4,56.0,4.63,4.66,2.85,931
155753,0.71,Premium,H,SI1,59.2,59.0,5.84,5.8,3.44,2006
105736,0.32,Ideal,D,SI1,61.5,55.0,4.41,4.43,2.72,597
70001,0.39,Ideal,G,SI1,61.3,55.0,4.75,4.74,2.91,919
170112,1.02,Ideal,E,SI1,62.5,56.0,6.42,6.46,4.02,5532
54799,1.51,Premium,F,SI1,58.5,60.0,7.44,7.37,4.3,11611
28543,2.03,Good,J,SI2,63.8,59.0,8.01,7.88,5.09,9633
66037,1.05,Ideal,H,VS2,62.0,55.0,6.48,6.52,4.03,5699
159735,0.5,Ideal,D,VS2,62.2,56.0,5.12,5.09,3.18,1749
27220,1.2,Premium,I,SI2,61.4,59.0,6.89,6.86,4.21,4491
145220,0.31,Ideal,G,VS2,62.4,57.0,4.32,4.35,2.7,630
154311,0.3,Ideal,I,VS2,61.6,56.0,4.33,4.35,2.67,468
149069,0.3,Good,E,SI1,63.9,55.0,4.29,4.25,2.74,675
171070,0.72,Ideal,H,SI1,61.8,57.0,5.74,5.76,3.55,2359
31212,0.3,Ideal,G,VVS1,61.4,55.0,4.33,4.36,2.67,761
143013,0.31,Ideal,H,VVS1,62.1,57.0,4.32,4.35,2.69,723
177219,2.01,Very Good,I,SI2,63.2,60.0,7.93,7.98,5.05,11263
786,0.77,Very Good,H,SI2,61.9,58.0,5.83,5.89,3.62,2280
16035,0.5,Premium,E,SI1,60.1,58.0,5.13,5.15,3.09,1348
25875,1.04,Ideal,F,SI1,61.0,56.0,6.57,6.6,4.02,5088
168299,1.05,Ideal,F,SI1,61.6,55.0,6.55,6.58,4.04,5586
90362,0.3,Very Good,I,VS2,63.0,57.0,4.26,4.24,2.68,449
9002,0.41,Premium,G,VS2,60.9,58.0,4.83,4.85,2.95,965
24205,1.04,Premium,G,VVS2,61.4,58.0,6.47,6.52,4.0,7813
64139,0.43,Good,J,VVS1,63.7,56.0,4.76,4.8,3.04,1059
16820,0.31,Premium,I,VS2,60.7,58.0,4.35,4.39,2.66,558
193185,0.91,Ideal,J,VS2,61.7,57.0,6.18,6.22,3.82,3251
12151,0.5,Ideal,G,VVS1,61.8,56.0,5.11,5.15,3.17,2005
45031,0.91,Ideal,E,SI2,62.0,57.0,6.29,6.25,3.9,3763
163211,0.3,Ideal,E,VVS2,61.2,55.0,4.4,4.36,2.68,1013
60351,1.41,Premium,H,SI2,62.1,60.0,7.1,7.03,4.4,5140
182672,1.02,Fair,F,SI2,64.7,61.0,6.27,6.23,4.05,3294
76716,0.44,Ideal,F,SI1,61.3,56.0,4.88,4.86,2.99,945
151219,0.3,Ideal,F,IF,62.3,56.0,4.31,4.34,2.69,1085
169829,0.59,Ideal,D,VS1,61.6,55.0,5.46,5.38,3.34,2312
115079,1.07,Ideal,G,VVS2,61.7,57.0,6.62,6.59,4.07,9146
29782,0.74,Very Good,J,SI1,59.2,62.0,5.88,5.92,3.51,2164
158216,0.43,Very Good,D,SI1,60.9,59.0,4.85,4.82,2.95,774
158629,0.5,Very Good,E,VVS2,63.1,55.4,5.09,5.12,3.22,2030
108624,1.3,Ideal,I,VS1,62.4,55.0,6.97,6.93,4.34,7096
44076,0.54,Ideal,G,VS2,62.0,55.0,5.23,5.28,3.26,1586
65881,0.27,Very Good,F,VVS2,60.7,59.0,4.17,4.19,2.53,620
141989,1.0,Very Good,F,SI1,63.1,55.0,6.25,6.4,4.0,4751
63924,1.01,Good,D,SI2,63.7,59.0,6.37,6.31,4.04,5868
8357,0.8,Premium,G,VS2,61.5,60.0,5.95,5.98,3.66,3457
16374,1.27,Premium,I,SI1,61.7,60.0,6.94,6.9,4.27,5746
170177,0.7,Ideal,D,SI1,61.8,56.0,5.72,5.75,3.54,2738
149902,1.13,Very Good,I,SI1,63.5,59.0,6.61,6.55,4.18,4687
22025,1.0,Very Good,J,VS2,63.1,59.0,6.38,6.35,4.02,3965
142491,1.1,Ideal,H,SI1,62.3,55.0,6.65,6.6,4.13,5499
126586,0.7,Ideal,H,VS1,62.7,54.0,5.66,5.72,3.57,2637
48268,0.34,Ideal,G,VS1,61.4,55.0,4.5,4.52,2.77,726
153015,0.91,Very Good,E,SI1,64.3,57.0,6.04,6.06,3.9,4347
36403,0.71,Ideal,I,SI1,61.7,57.0,5.71,5.76,3.53,2170
87212,0.9,Very Good,F,SI1,62.9,62.0,6.1,6.07,3.83,3950
100222,1.09,Ideal,F,SI2,61.3,54.0,6.62,6.66,4.07,4788
185923,1.06,Ideal,H,SI1,62.1,57.0,6.54,6.51,4.05,5226
33115,1.14,Very Good,E,SI1,60.7,59.0,6.71,6.74,4.11,6350
175089,1.1,Premium,E,SI2,62.2,58.0,6.63,6.59,4.1,5468
58047,1.05,Very Good,E,VS2,61.8,60.0,6.49,6.52,4.02,6570
160295,0.3,Premium,E,VS1,62.2,60.0,4.32,4.29,2.67,731
149939,2.01,Premium,G,SI1,61.4,59.0,8.14,8.09,4.98,18557
188513,0.9,Ideal,E,SI1,61.4,57.0,6.13,6.17,3.79,4119
87320,0.72,Ideal,F,SI1,62.0,56.0,5.73,5.75,3.56,2423
26610,0.3,Ideal,H,IF,62.0,56.0,4.29,4.31,2.67,814
146155,0.72,Ideal,G,VS1,60.5,57.0,5.81,5.85,3.53,3001
160346,0.71,Premium,G,SI2,61.2,58.0,5.77,5.83,3.54,2256
23418,1.06,Very Good,H,VS2,61.2,60.0,6.55,6.59,4.02,5561
30384,1.11,Premium,I,VS2,61.9,58.0,6.59,6.62,4.09,5356
61716,0.93,Ideal,G,SI1,62.4,55.0,6.19,6.23,3.88,4255
64832,0.41,Very Good,G,VVS2,62.8,56.0,4.74,4.77,2.99,1007
188494,0.56,Ideal,H,SI1,61.0,54.0,5.34,5.36,3.27,1391
137079,0.5,Good,E,VS2,64.8,57.0,5.03,4.92,3.21,1090
172808,0.72,Good,E,SI2,60.6,62.0,5.8,5.75,3.5,2451
151565,2.18,Ideal,F,SI2,61.4,57.0,8.41,8.37,5.14,15970
84012,1.01,Premium,J,SI1,62.5,59.0,6.42,6.38,4.0,3816
43461,0.31,Ideal,I,VS1,61.1,56.0,4.38,4.42,2.68,489
139332,1.27,Premium,G,VS2,60.8,60.0,6.99,6.97,4.23,7806
80910,0.7,Very Good,G,SI1,63.1,63.0,5.56,5.61,3.51,2431
85654,1.01,Premium,H,VS2,60.6,60.0,6.53,6.49,3.94,5433
82593,0.51,Very Good,I,VS2,62.7,59.0,5.06,5.08,3.18,1072
170196,0.41,Very Good,G,VS2,63.4,56.0,4.7,4.73,2.99,827
96555,1.25,Ideal,F,VS2,61.2,57.0,7.01,6.93,4.26,8590
63599,0.73,Ideal,I,VS1,60.8,56.0,5.9,5.86,3.57,2460
184930,0.9,Very Good,D,SI2,59.9,61.0,6.19,6.22,3.7,3793
131093,0.4,Ideal,E,VVS2,62.1,56.0,4.74,4.78,2.95,1257
76335,0.33,Ideal,G,VVS2,62.2,55.0,4.42,4.46,2.76,965
178096,0.34,Premium,E,SI1,61.7,60.0,4.42,4.45,2.74,596
137016,0.78,Premium,E,SI1,61.9,58.0,5.88,5.89,3.65,2699
